	0
stuff	112
stupid	123
stupidest	1
stupidly	1
subdued	1
subject	1222
subjects	1
submitted	1
subscribe	1
succeeded	12
such	1012178
sudden	23
suddenly	247
suet	1
sugar	2
suit	12
sulkily	11
sulky	111
summer	2
sun	11
supple	1
support	4
suppose	1139
suppress	1
suppressed	4
sure	1725
surprise	113
surprised	124
survive	1
swallow	1
swallowed	1
swallowing	1
swam	5
swamp	1
sweet	1
swim	113
swimming	2
synonymous	1
t	34506668
table	11025
tail	1134
tails	3
take	4666
taken	22
takes	111
taking	1112
tale	13
tales	1
talk	1157
talking	1367
taller	2
tart	1
tarts	7
taste	2
tasted	12
tastes	1
taught	13
tax	6
taxes	1
tea	11116
teaching	1
teacup	3
teacups	2
teapot	1
tears	227
teases	1
teeth	1
telescope	3
telescopes	1
tell	111128
telling	11
tells	2
temper	122
tempered	2
ten	114
terms	1120
terribly	1
terrier	1
terror	1
than	4679
thank	13
thanked	1
that	66808599
thatched	1
the	398405479536
their	162367
theirs	1
them	12202432
themselves	3
then	2530318
there	17213033
therefore	1
these	2366
they	31323953
thick	1
thimble	4
thin	1
thing	1116193
things	12588
think	1118213
thinking	2333
thirteen	1
thirty	1
this	23335768
thistle	2
thoroughly	11
those	2234
though	227
thought	1818308
thoughtfully	22
thoughts	11
thousand	2
three	11359
threw	11
throat	11
throne	1
through	1249
throughout	1
throw	12
throwing	11
thrown	1
thump	2
thunder	1
thunderstorm	1
thus	1
tide	1
tidy	1
tie	1
tied	1
tight	1
till	4467
tillie	1
time	1722257
times	114
timid	12
timidly	45
tinkling	1
tiny	13
tipped	1
tiptoe	11
tired	16
tis	5
title	1
tittered	1
tm	57
to	173181193262
toast	1
today	1
toes	3
toffee	1
together	234
told	222
tomorrow	1
tone	131638
tones	11
tongue	112
too	4589
took	11148
top	1223
tops	1
tortoise	3
toss	1
tossing	12
touch	1
tougher	1
towards	1
toys	1
trademark	11
trampled	1
transcribe	1
transcription	1
traps	1
tray	1
treacle	16
treading	2
treat	1
treated	1
treatment	1
tree	44
trees	1114
tremble	1
trembled	11
trembling	123
tremulous	1
trial	28
trials	1
trickling	1
tricks	1
tried	1288
trims	1
triumphantly	11
trot	1
trotting	2
trouble	1122
true	112
trumpet	3
trusts	1
truth	1
truthful	1
try	1146
trying	1337
tucked	3
tulip	1
tumbled	1
tumbling	11
tunnel	1
tureen	1
turkey	1
turn	146
turned	3355
turning	2244
turns	3
turtle	356
turtles	2
tut	2
twelfth	1
twelve	112
twentieth	1
twenty	12
twice	113
twinkle	8
twinkled	1
twinkling	13
twist	11
two	131458
txt	1
types	1
u	3
ugh	11
uglification	2
uglify	1
uglifying	1
ugly	11
unable	1
uncivil	1
uncomfortable	112
uncomfortably	1
uncommon	1
uncommonly	1
uncorked	1
under	5566
underneath	1
understand	1123
understood	1
undertone	2
undo	1
undoing	1
uneasily	11
uneasy	1
unenforceability	1
unfolded	11
unfortunate	12
unhappy	11
uniform	1
unimportant	5
united	10
unjust	1
unless	15
unlink	1
unlocking	1
unpleasant	11
unrolled	11
unsolicited	1
until	122
untwist	1
unusually	1
unwillingly	1
up	19212538
updated	11
upon	4789
upright	1
upset	12
upsetting	1
upstairs	1
us	2346
use	13459
used	3346
useful	2
user	3
using	15
usual	1112
usually	2
usurpation	1
ut	1
utf	1
v	1
vague	1
vanilla	2
vanished	13
vanishing	1
variations	1
variety	1
various	11
ve	121679
vegetable	1
velvet	1
venture	111
ventured	112
verdict	4
verse	22
verses	4
version	1
very	17394346
vi	1
viewed	1
viewing	1
vii	1
viii	1
vinegar	1
violates	1
violence	1
violent	2
violently	13
virus	1
visit	12
voice	1212204
voices	3
void	1
volunteer	1
volunteers	6
vote	1
vulgar	1
w	1
wag	1
wags	1
waist	1
waistcoat	2
wait	1
waited	245
waiting	234
wake	11
walk	113
walked	226
walking	23
walks	1
walrus	1
wander	1
wandered	11
wandering	11
want	1125
wanted	22
wants	11
warning	1
warranties	3
warranty	2
was	138438295
wash	11
washing	12
wasn	1145
waste	1
wasting	11
watch	224
watched	11
watching	12
water	23
waters	1
waving	122
way	1011307
ways	11
we	151666
weak	11
wearily	1
web	6
week	12
weeks	1
welcome	1
well	1213308
went	1925327
wept	1
were	14202130
weren	1
west	1
wet	2
what	18384244
whatever	12
whatsoever	11
when	1827278
whenever	11
where	3555
whereupon	1
wherever	11
whether	1244
which	1416233
while	5678
whiles	1
whiskers	12
whisper	12
whispered	23
whispers	1
whistle	1
whistling	1
white	11559
whiting	8
who	12161721
whoever	1
whole	445
whom	11
whose	11
why	1112134
wide	111
wider	1
widest	2
wife	1
wig	2
wild	11
wildly	2
will	111748
william	134
win	1
wind	11
window	8
wine	2
wings	1
wink	11
winter	1
wise	11
wish	12235
with	42525975
within	24
without	101077
witness	10
wits	1
woke	1
woman	11
won	11159
wonder	1152
wondered	1
wonderful	2
wondering	115
wonderland	44
wood	125
wooden	1
word	1235
words	2469
wore	1
work	12446
works	132
world	1123
worm	1
worried	1
worry	1
worse	111
worth	112
would	17172128
wouldn	1237
wow	6
wrapping	1
wretched	11
wriggling	1
write	15
writhing	1
writing	27
written	126
wrong	122
wrote	3
www	15
x	1
xi	1
xii	1
yard	1
yards	1
yawned	11
yawning	2
ye	1
year	2
years	2
yelled	1
yelp	1
yer	4
yes	1237
yesterday	12
yet	3589
you	11712813799
young	122
your	13151627
yours	12
yourself	1234
youth	6
zealand	1
zigzag	1
